"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
-225,-195,20,300,8.996,-0.018231,0.0092337,8.996,0.20282,4.5342e-05,0.0094743,0.14073,1.0133e+05,3.3778,1.225
-200,-195,20,300,8.9946,-0.026818,0.011377,8.9946,0.20699,4.8037e-05,0.0098635,0.14362,1.0133e+05,3.3845,1.225
-175,-195,20,300,8.9938,-0.037801,0.013952,8.9939,0.21131,5.0904e-05,0.010267,0.14662,1.0133e+05,3.3844,1.225
-149.99,-194.99,20,300,8.9945,-0.051937,0.016904,8.9947,0.21581,5.3937e-05,0.010687,0.14974,1.0133e+05,3.368,1.225
-124.99,-194.99,20,300,8.9978,-0.069941,0.020301,8.9981,0.22049,5.7145e-05,0.011123,0.153,1.0133e+05,3.3207,1.225
-99.993,-194.99,20,300,9.0055,-0.092551,0.024269,9.0061,0.22539,6.0539e-05,0.011577,0.15639,1.0133e+05,3.2211,1.225
-74.992,-194.99,20,300,9.0199,-0.11979,0.02881,9.0208,0.2305,6.413e-05,0.01205,0.15994,1.0133e+05,3.0395,1.225
-49.992,-194.99,20,300,9.0436,-0.15059,0.033749,9.045,0.23586,6.7933e-05,0.012544,0.16366,1.0133e+05,2.7379,1.225
-24.993,-194.99,20,300,9.0787,-0.18161,0.038673,9.0807,0.24147,7.1963e-05,0.01306,0.16755,1.0133e+05,2.2795,1.225
0.0066683,-194.99,20,300,9.1246,-0.20678,0.043019,9.1271,0.24729,7.621e-05,0.013596,0.17159,1.0133e+05,1.6562,1.225
25.017,-195.42,20,300,9.1787,-0.22456,0.046752,9.1817,0.25335,8.0692e-05,0.014155,0.17579,1.0133e+05,0.89796,1.225
50.006,-194.99,20,300,9.239,-0.23408,0.049713,9.2422,0.25967,8.5419e-05,0.014736,0.18018,1.0133e+05,0.04303,1.225
75.005,-194.99,20,300,9.2997,-0.23468,0.051665,9.303,0.26611,9.0385e-05,0.015336,0.18465,1.0132e+05,-0.84314,1.225
100,-194.99,20,300,9.3596,-0.22895,0.052914,9.3626,0.27271,9.5591e-05,0.015956,0.18923,1.0132e+05,-1.7031,1.225
125,-194.99,20,300,9.418,-0.2145,0.053362,9.4207,0.27939,0.00010105,0.016595,0.19386,1.0132e+05,-2.5267,1.225
150,-195.21,20,300,9.4723,-0.18778,0.05249,9.4744,0.28615,0.00010673,0.017249,0.19855,1.0132e+05,-3.2823,1.225
175.04,-195.17,20,300,9.517,-0.14901,0.049559,9.5183,0.29282,0.00011264,0.017916,0.20318,1.0132e+05,-3.9045,1.225
200.04,-195.17,20,300,9.5457,-0.1017,0.043973,9.5464,0.29924,0.00011876,0.018588,0.20764,1.0132e+05,-4.3189,1.225
225.04,-195.16,20,300,9.5562,-0.051682,0.036135,9.5565,0.30545,0.000125,0.019259,0.21195,1.0132e+05,-4.4786,1.225
250.05,-195.15,20,300,9.5489,-0.0049225,0.027491,9.549,0.31134,0.00013139,0.01993,0.21603,1.0132e+05,-4.3962,1.225
275,-195,20,300,9.5311,0.037196,0.01885,9.5313,0.31699,0.00013786,0.020591,0.21995,1.0132e+05,-4.1219,1.225
300,-195,20,300,9.5009,0.075271,0.010064,9.5013,0.32221,0.0001444,0.021243,0.22357,1.0132e+05,-3.7086,1.225
325,-195,20,300,9.4627,0.10532,0.0015347,9.4634,0.32711,0.00015095,0.021882,0.22697,1.0132e+05,-3.2072,1.225
350,-195,20,300,9.4204,0.12545,-0.0058412,9.4213,0.33182,0.00015745,0.022508,0.23024,1.0132e+05,-2.6705,1.225
375,-195,20,300,9.3775,0.13796,-0.011556,9.3786,0.33634,0.00016394,0.023124,0.23338,1.0132e+05,-2.1394,1.225
400,-195,20,300,9.3362,0.14457,-0.015783,9.3374,0.34068,0.00017047,0.023732,0.23639,1.0132e+05,-1.6342,1.225
425,-195,20,300,9.2973,0.14687,-0.018918,9.2986,0.34488,0.00017706,0.024336,0.23931,1.0132e+05,-1.1667,1.225
450,-195,20,300,9.2628,0.14684,-0.021671,9.2641,0.34895,0.00018371,0.024935,0.24213,1.0132e+05,-0.74369,1.225
475,-195,20,300,9.2265,0.14586,-0.024572,9.2278,0.35298,0.0001906,0.025546,0.24492,1.0132e+05,-0.38267,1.225
500,-195,20,300,9.7148,0.15345,-0.026485,9.7161,0.38814,0.00019416,0.025859,0.26932,1.0132e+05,-0.011603,1.225
-300,-173.33,20,300,9.5,0,0,9.5,0.0019043,0.12361,0.015027,0.0013214,1.0133e+05,3.4493,1.225
-275.09,-173.38,20,300,8.9982,-0.0070051,0.0065773,8.9982,0.19476,0.001396,0.0089896,0.13514,1.0133e+05,3.4485,1.225
-250,-173.33,20,300,8.9962,-0.014149,0.0080178,8.9962,0.19876,4.6104e-05,0.0090988,0.13792,1.0133e+05,3.4549,1.225
-225,-173.33,20,300,8.9932,-0.022926,0.0099045,8.9933,0.20282,4.5368e-05,0.0094754,0.14073,1.0133e+05,3.4768,1.225
-199.99,-173.33,20,300,8.9897,-0.033954,0.012358,8.9897,0.207,4.8064e-05,0.0098654,0.14364,1.0133e+05,3.5099,1.225
-174.99,-173.33,20,300,8.986,-0.048238,0.015357,8.9861,0.21135,5.0935e-05,0.010271,0.14665,1.0133e+05,3.547,1.225
-149.99,-173.33,20,300,8.9829,-0.067017,0.018875,8.9831,0.21589,5.3976e-05,0.010692,0.1498,1.0133e+05,3.5789,1.225
-124.99,-173.32,20,300,8.9816,-0.091642,0.023073,8.9821,0.22064,5.7196e-05,0.011131,0.15309,1.0133e+05,3.591,1.225
-99.989,-173.32,20,300,8.9843,-0.12353,0.028148,8.9852,0.22563,6.0608e-05,0.011589,0.15656,1.0133e+05,3.5586,1.225
-74.989,-173.32,20,300,8.994,-0.16367,0.034211,8.9956,0.23089,6.4227e-05,0.012068,0.16021,1.0133e+05,3.4432,1.225
-49.989,-173.32,20,300,9.0158,-0.21138,0.041206,9.0184,0.23648,6.8082e-05,0.012572,0.16409,1.0133e+05,3.1839,1.225
-24.99,-173.32,20,300,9.0544,-0.26308,0.048565,9.0586,0.24243,7.2117e-05,0.013096,0.16821,1.0133e+05,2.6909,1.225
0.0091558,-173.32,20,300,9.1093,-0.30854,0.055043,9.1149,0.2486,7.6276e-05,0.013632,0.1725,1.0133e+05,1.9449,1.225
25.01,-173.8,20,300,9.1718,-0.34035,0.060287,9.1786,0.25503,8.0677e-05,0.014194,0.17696,1.0133e+05,1.017,1.225
50.008,-173.32,20,300,9.2435,-0.35617,0.064355,9.251,0.26188,8.534e-05,0.014778,0.18171,1.0132e+05,-0.0043486,1.225
75.008,-173.32,20,300,9.3114,-0.35894,0.067392,9.319,0.26892,9.0358e-05,0.015397,0.1866,1.0132e+05,-1.0155,1.225
100.01,-173.32,20,300,9.3788,-0.35591,0.070299,9.3863,0.27625,9.5781e-05,0.016053,0.19169,1.0132e+05,-1.9864,1.225
125.01,-173.32,20,300,9.4489,-0.34209,0.072484,9.4558,0.28375,0.00010157,0.016739,0.19688,1.0132e+05,-2.956,1.225
150,-173.57,20,300,9.5171,-0.30745,0.072277,9.5229,0.29155,0.00010771,0.017459,0.2023,1.0132e+05,-3.8892,1.225
175.05,-173.56,20,300,9.5731,-0.24895,0.068514,9.5771,0.29946,0.00011418,0.018203,0.20779,1.0132e+05,-4.6572,1.225
200.08,-173.55,20,300,9.6071,-0.17251,0.060392,9.6092,0.3071,0.00012082,0.018949,0.21309,1.0132e+05,-5.1142,1.225
225.08,-173.54,20,300,9.6147,-0.090733,0.048718,9.6155,0.31416,0.00012738,0.019667,0.21799,1.0132e+05,-5.2061,1.225
250.09,-173.53,20,300,9.6013,-0.016063,0.036888,9.6015,0.32069,0.00013431,0.020394,0.22252,1.0132e+05,-5.002,1.225
274.99,-173.33,20,300,9.5755,0.048735,0.02704,9.5757,0.32681,0.00014144,0.021117,0.22677,1.0132e+05,-4.5986,1.225
299.99,-173.33,20,300,9.5382,0.10444,0.017542,9.5388,0.33224,0.00014821,0.021791,0.23053,1.0132e+05,-4.063,1.225
324.99,-173.33,20,300,9.4924,0.14732,0.0073014,9.4936,0.33717,0.00015483,0.022435,0.23395,1.0132e+05,-3.4535,1.225
